CustomerID,Spending Score (1-100)
1,-0.43520144
2,0.47238785
3,-1.712046
4,-0.50882226
5,-0.3955838
6,0.99435395
7,-1.7114369
8,-0.037955247
9,-1.159665
10,0.8498036
11,-1.2048509
12,1.8829544
13,-1.3661616
14,1.0671445
15,-1.4459553
16,1.1236937
17,1.858414
18,0.60830915
19,-0.8233646
20,1.858414
21,0.55848825
22,0.8892824
23,-1.7503066
24,0.88366604
25,-1.4043062
26,1.2339872
27,-0.7080068
28,0.42542163
29,-0.7474508
30,1.4217006
31,-1.7118511
32,0.89292854
33,-1.7931368
34,0.7354937
35,-1.5790299
36,1.1940203
37,-1.2827232
38,0.8805445
39,-0.9390721
40,0.6884238
41,-0.5918155
42,1.6154348
43,-0.5512598
44,0.102732725
45,-0.59698987
46,0.58066136
47,-0.27666298
48,-0.31363913
49,-0.31735307
50,-0.31591466
51,0.05806193
52,0.5754893
53,0.14094594
54,-0.06869123
55,-0.1927695
56,-0.24519539
57,-0.010828905
58,-0.16241238
59,0.036039386
60,-0.16073415
61,0.22488882
62,0.34725407
63,0.07326933
64,0.3333313
65,0.029588193
66,0.3421147
67,-0.03220818
68,-0.12256045
69,0.34385258
70,-0.12027901
71,0.18416922
72,-0.32010934
73,-0.046384756
74,-0.046384756
75,-0.12721217
76,0.16477726
77,0.10457471
78,-0.14612855
79,0.062652394
80,-0.29242873
81,-0.14304724
82,0.18546534
83,-0.350193
84,-0.25047177
85,-0.0014257315
86,-0.16235855
87,0.30166394
88,-0.158634
89,0.37577707
90,-0.16737561
91,-0.17785488
92,-0.35351574
93,-0.059183873
94,-0.39483652
95,-0.3157712
96,-0.08751931
97,-0.38315535
98,-0.123602465
99,-0.30419782
100,-0.367887
101,-0.35647884
102,-0.0608077
103,0.33171007
104,0.18524458
105,0.20707741
106,-0.31973654
107,-0.012633716
108,0.07625883
109,-0.2772042
110,-0.073720455
111,0.069488026
112,0.14066395
113,-0.31224307
114,-0.16395998
115,-0.085654706
116,-0.006918608
117,-0.27726915
118,0.32576716
119,-0.2664813
120,0.25681862
121,0.22598602
122,0.81345713
123,0.30507407
124,1.5755671
125,-0.81302315
126,1.0287644
127,-0.6126841
128,-0.7534886
129,-1.5247763
130,0.9499076
131,-1.5883458
132,0.99200004
133,-0.6321995
134,0.8223672
135,-1.754669
136,1.4577286
137,-1.6729755
138,0.8950147
139,-1.5648916
140,0.84787774
141,-1.75366
142,1.6605316
143,-0.38535914
144,1.4126338
145,-1.4802971
146,-0.040070683
147,-0.5545873
148,0.9246276
149,-1.0598559
150,1.5243473
151,-1.2667778
152,1.4458197
153,-1.1804652
154,1.0005993
155,-1.3268951
156,1.5001948
157,-1.8988347
158,0.9780767
159,1.5243473
160,0.9780767
161,-0.5920092
162,1.681065
163,-1.755071
164,1.6624861
165,-0.90031165
166,0.9555991
167,-1.173118
168,1.7361745
169,-0.89287025
170,1.3272592
171,-1.4398854
172,0.37249893
173,0.029744195
174,0.029744195
175,-1.4446688
176,1.3915051
177,-1.3660254
178,0.73082465
179,-1.2989259
180,1.5446224
181,-0.7081148
182,1.3859437
183,-1.3665327
184,1.4696795
185,-0.4421313
186,1.8181733
187,-1.015257
188,1.2310221
189,-1.2823716
190,1.3438568
191,0.70447314
192,1.3727777
193,1.7833172
194,0.67217946
195,-1.3296877
196,1.1176898
197,-1.1489276
198,0.9227004
199,-1.2441193
200,1.2723062
